Dataset,Model,Cloud cover,Predicted Value
Evenings,CatBoost,0.686868686868687,538.4174360892906
Evenings,CatBoost,0.696969696969697,521.931148674386
Evenings,CatBoost,0.7070707070707072,521.6635008634375
Evenings,CatBoost,0.7171717171717172,534.0752381674254
Evenings,CatBoost,0.7272727272727273,521.2791100795055
Evenings,CatBoost,0.7373737373737375,522.7202973204031
Evenings,CatBoost,0.7474747474747475,525.9005763456705
Evenings,CatBoost,0.7575757575757577,563.8166303914703
Evenings,CatBoost,0.7676767676767677,563.559369779294
Evenings,CatBoost,0.7777777777777778,531.7962925693357
Evenings,CatBoost,0.787878787878788,531.7962925693357
Evenings,CatBoost,0.797979797979798,529.4743644076041
Evenings,CatBoost,0.8080808080808082,522.6850625830157
Evenings,CatBoost,0.8181818181818182,516.4881075204595
Evenings,CatBoost,0.8282828282828284,507.68946282642145
Evenings,CatBoost,0.8383838383838385,526.733952556418
Evenings,CatBoost,0.8484848484848485,541.1343743489065
Evenings,CatBoost,0.8585858585858587,539.0347729918926
Evenings,CatBoost,0.8686868686868687,539.1610584295966
Evenings,CatBoost,0.8787878787878789,535.2654661679239
Evenings,CatBoost,0.888888888888889,535.4837102510255
Evenings,CatBoost,0.8989898989898991,534.7062282444408
Evenings,CatBoost,0.9090909090909092,536.6525857527632
Evenings,CatBoost,0.9191919191919192,545.360485111069
Evenings,CatBoost,0.9292929292929294,554.7263695401256
Evenings,CatBoost,0.9393939393939394,558.3198575887583
Evenings,CatBoost,0.9494949494949496,558.1769065997597
Evenings,CatBoost,0.9595959595959597,548.8777495126909
Evenings,CatBoost,0.9696969696969697,514.7359732577333
Evenings,CatBoost,0.9797979797979799,524.4287710916722
Evenings,CatBoost,0.98989898989899,536.440178628137
Evenings,CatBoost,1.0,506.2972123164885
Evenings,LightGBM,0.0,551.6322700958187
Evenings,LightGBM,0.010101010101010102,548.6890658474049
Evenings,LightGBM,0.020202020202020204,550.7120673350632
Evenings,LightGBM,0.030303030303030304,548.3995735415725
Evenings,LightGBM,0.04040404040404041,546.3824300460951
Evenings,LightGBM,0.05050505050505051,536.2005856021067
Evenings,LightGBM,0.06060606060606061,547.7064236463867
Evenings,LightGBM,0.07070707070707072,548.3438902678308
Evenings,LightGBM,0.08080808080808081,565.2661964871402
Evenings,LightGBM,0.09090909090909091,576.6215344880814
Evenings,LightGBM,0.10101010101010102,567.4951876441396
Evenings,LightGBM,0.11111111111111112,548.1293567186142
Evenings,LightGBM,0.12121212121212122,543.0091340784074
Evenings,LightGBM,0.13131313131313133,542.414214524362
Evenings,LightGBM,0.14141414141414144,547.334266601165
Evenings,LightGBM,0.15151515151515152,540.3710765710042
Evenings,LightGBM,0.16161616161616163,539.797840383537
Evenings,LightGBM,0.17171717171717174,538.8455003373571
Evenings,LightGBM,0.18181818181818182,540.3849531174885
Evenings,LightGBM,0.19191919191919193,522.0276196511475
Evenings,LightGBM,0.20202020202020204,519.6744688272745
Evenings,LightGBM,0.21212121212121213,530.5638659416024
Evenings,LightGBM,0.22222222222222224,532.8103587453738
Evenings,LightGBM,0.23232323232323235,529.9498021899628
Evenings,LightGBM,0.24242424242424243,529.4907425017539
Evenings,LightGBM,0.25252525252525254,529.3669684605558
Evenings,LightGBM,0.26262626262626265,528.5583844989306
Evenings,LightGBM,0.27272727272727276,530.8799995336897
Evenings,LightGBM,0.2828282828282829,531.9107195709087
Evenings,LightGBM,0.29292929292929293,536.1970209261995
Evenings,LightGBM,0.30303030303030304,536.1970209261995
Evenings,LightGBM,0.31313131313131315,540.3865432628234
Evenings,LightGBM,0.32323232323232326,544.5985023833459
Evenings,LightGBM,0.33333333333333337,547.8909739401786
Evenings,LightGBM,0.3434343434343435,546.9414472035289
Evenings,LightGBM,0.3535353535353536,551.8242820532929
Evenings,LightGBM,0.36363636363636365,551.7509450959473
Evenings,LightGBM,0.37373737373737376,551.5115666117697
Evenings,LightGBM,0.38383838383838387,551.7960272041693
Evenings,LightGBM,0.393939393939394,551.689994586919
