Dataset,Model,Elderly,Predicted Value
All,LightGBM,20.0,591.6330015751686
All,LightGBM,20.606060606060606,591.3899028075803
All,LightGBM,21.21212121212121,591.3899028075803
All,LightGBM,21.81818181818182,591.3899028075803
All,LightGBM,22.424242424242426,591.3899028075803
All,LightGBM,23.03030303030303,592.3984655956195
All,LightGBM,23.636363636363637,592.3984655956195
All,LightGBM,24.242424242424242,592.3984655956195
All,LightGBM,24.848484848484848,592.3984655956195
All,LightGBM,25.454545454545457,592.3984655956195
All,LightGBM,26.060606060606062,592.3984655956195
All,LightGBM,26.666666666666668,592.3984655956195
All,LightGBM,27.272727272727273,592.3984655956195
All,LightGBM,27.87878787878788,594.1808535939642
All,LightGBM,28.484848484848484,594.1808535939642
All,LightGBM,29.090909090909093,594.1808535939642
All,LightGBM,29.6969696969697,594.1808535939642
All,LightGBM,30.303030303030305,594.1808535939642
All,LightGBM,30.90909090909091,594.1808535939642
All,LightGBM,31.515151515151516,594.1808535939642
All,LightGBM,32.121212121212125,594.1808535939642
All,LightGBM,32.72727272727273,594.1808535939642
All,LightGBM,33.333333333333336,594.1808535939642
All,LightGBM,33.93939393939394,594.1808535939642
All,LightGBM,34.54545454545455,594.1808535939642
All,LightGBM,35.151515151515156,594.3293533152826
All,LightGBM,35.75757575757576,594.3293533152826
All,LightGBM,36.36363636363637,594.3293533152826
All,LightGBM,36.96969696969697,594.3293533152826
All,LightGBM,37.57575757575758,594.3293533152826
All,LightGBM,38.18181818181818,594.3293533152826
All,LightGBM,38.78787878787879,594.3293533152826
All,LightGBM,39.3939393939394,594.3293533152826
All,LightGBM,40.0,594.3293533152826
All,LightGBM,40.60606060606061,594.3293533152826
All,LightGBM,41.21212121212121,594.3293533152826
All,LightGBM,41.81818181818182,594.3293533152826
All,LightGBM,42.42424242424242,594.3293533152826
All,LightGBM,43.03030303030303,594.3293533152826
All,LightGBM,43.63636363636364,594.3293533152826
All,LightGBM,44.24242424242424,599.4297699756851
All,LightGBM,44.84848484848485,599.4297699756851
All,LightGBM,45.45454545454545,599.4297699756851
All,LightGBM,46.06060606060606,599.4297699756851
All,LightGBM,46.66666666666667,599.4297699756851
All,LightGBM,47.27272727272727,599.4297699756851
All,LightGBM,47.87878787878788,599.4297699756851
All,LightGBM,48.484848484848484,599.4297699756851
All,LightGBM,49.09090909090909,599.4297699756851
All,LightGBM,49.696969696969695,599.4297699756851
All,LightGBM,50.303030303030305,599.4297699756851
All,LightGBM,50.909090909090914,599.4297699756851
All,LightGBM,51.515151515151516,599.4297699756851
All,LightGBM,52.121212121212125,599.4297699756851
All,LightGBM,52.72727272727273,599.4297699756851
