Dataset,Model,15 Tree density,Predicted Value
Mornings,CatBoost,0.06774213647954724,749.8769125438322
Mornings,CatBoost,0.06922428366362213,749.8769125438322
Mornings,CatBoost,0.07070643084769701,749.8769125438322
Mornings,CatBoost,0.0721885780317719,749.8769125438322
Mornings,CatBoost,0.07367072521584676,749.8769125438322
Mornings,CatBoost,0.07515287239992165,749.8769125438322
Mornings,CatBoost,0.07663501958399653,749.8769125438322
Mornings,CatBoost,0.0781171667680714,751.3117698880961
Mornings,CatBoost,0.07959931395214628,751.3117698880961
Mornings,CatBoost,0.08108146113622117,751.3117698880961
Mornings,CatBoost,0.08256360832029605,751.3117698880961
Mornings,CatBoost,0.08404575550437092,751.3117698880961
Mornings,CatBoost,0.0855279026884458,751.3117698880961
Mornings,CatBoost,0.08701004987252069,751.3117698880961
Mornings,CatBoost,0.08849219705659556,751.3117698880961
Mornings,CatBoost,0.08997434424067044,751.3117698880961
Mornings,CatBoost,0.09145649142474532,751.3117698880961
Mornings,CatBoost,0.0929386386088202,751.3117698880961
Mornings,CatBoost,0.09442078579289508,751.3620802134262
Mornings,CatBoost,0.09590293297696996,751.4203535441396
Mornings,CatBoost,0.09738508016104484,751.3405290322601
Mornings,CatBoost,0.09886722734511973,755.8126730182919
Mornings,CatBoost,0.1003493745291946,755.8115380930777
Mornings,CatBoost,0.10183152171326948,755.6002682336626
Mornings,CatBoost,0.10331366889734436,755.6537444476029
Mornings,CatBoost,0.10479581608141925,755.1324736090605
Mornings,CatBoost,0.10627796326549412,755.1113928778036
Mornings,CatBoost,0.107760110449569,755.1113928778036
Mornings,CatBoost,0.10924225763364388,755.6032889237094
Mornings,CatBoost,0.11072440481771875,770.8063421092209
Mornings,CatBoost,0.11220655200179364,770.8909402925484
Mornings,CatBoost,0.11368869918586852,774.8163297044631
Mornings,CatBoost,0.1151708463699434,774.8163297044631
Mornings,CatBoost,0.11665299355401827,774.8163297044631
Mornings,CatBoost,0.11813514073809316,774.8163297044631
Mornings,CatBoost,0.11961728792216804,778.0282016177348
Mornings,CatBoost,0.12109943510624292,780.2445550448872
Mornings,CatBoost,0.12258158229031779,780.2445550448872
Mornings,CatBoost,0.12406372947439268,780.3459166147029
Mornings,CatBoost,0.12554587665846756,780.3459166147029
Mornings,CatBoost,0.12702802384254244,780.3459166147029
Mornings,CatBoost,0.12851017102661733,780.4741659420619
Mornings,CatBoost,0.1299923182106922,780.4741659420619
Mornings,CatBoost,0.1314744653947671,780.4741659420619
Mornings,CatBoost,0.13295661257884195,780.4741659420619
Mornings,CatBoost,0.13443875976291683,780.4741659420619
Mornings,CatBoost,0.13592090694699172,780.4741659420619
Mornings,CatBoost,0.1374030541310666,780.4741659420619
Mornings,CatBoost,0.13888520131514148,780.4741659420619
