Dataset,Model,5 Tram count,Predicted Value
All,XGBoost,1.777777777777778,565.0026245117188
All,XGBoost,1.9393939393939394,565.0026245117188
All,XGBoost,2.101010101010101,560.7968139648438
All,XGBoost,2.262626262626263,560.7968139648438
All,XGBoost,2.4242424242424243,560.7968139648438
All,XGBoost,2.585858585858586,560.7968139648438
All,XGBoost,2.747474747474748,560.7968139648438
All,XGBoost,2.909090909090909,560.7968139648438
All,XGBoost,3.070707070707071,561.9814453125
All,XGBoost,3.2323232323232327,561.9814453125
All,XGBoost,3.393939393939394,561.9814453125
All,XGBoost,3.555555555555556,561.9814453125
All,XGBoost,3.7171717171717176,561.9814453125
All,XGBoost,3.878787878787879,561.9814453125
All,XGBoost,4.040404040404041,562.7025756835938
All,XGBoost,4.202020202020202,562.7025756835938
All,XGBoost,4.363636363636364,562.7025756835938
All,XGBoost,4.525252525252526,562.7025756835938
All,XGBoost,4.686868686868687,562.7025756835938
All,XGBoost,4.848484848484849,562.7025756835938
All,XGBoost,5.01010101010101,560.4474487304688
All,XGBoost,5.171717171717172,560.4474487304688
All,XGBoost,5.333333333333334,560.4474487304688
All,XGBoost,5.494949494949496,560.4474487304688
All,XGBoost,5.6565656565656575,560.4474487304688
All,XGBoost,5.818181818181818,560.4474487304688
All,XGBoost,5.97979797979798,560.4474487304688
All,XGBoost,6.141414141414142,573.3273315429688
All,XGBoost,6.303030303030304,573.3273315429688
All,XGBoost,6.464646464646465,573.3273315429688
All,XGBoost,6.626262626262627,573.3273315429688
All,XGBoost,6.787878787878788,573.3273315429688
All,XGBoost,6.94949494949495,573.3273315429688
All,XGBoost,7.111111111111112,575.3516845703125
All,XGBoost,7.272727272727273,575.3516845703125
All,XGBoost,7.434343434343435,575.3516845703125
All,XGBoost,7.595959595959597,575.3516845703125
All,XGBoost,7.757575757575758,575.3516845703125
All,XGBoost,7.91919191919192,575.3516845703125
All,XGBoost,8.080808080808081,575.2782592773438
All,XGBoost,8.242424242424244,575.2782592773438
All,XGBoost,8.404040404040405,575.2782592773438
All,XGBoost,8.565656565656566,575.2782592773438
All,XGBoost,8.727272727272728,575.2782592773438
All,XGBoost,8.88888888888889,575.2782592773438
All,XGBoost,9.050505050505052,575.1375122070312
All,XGBoost,9.212121212121213,575.1375122070312
All,XGBoost,9.373737373737374,575.1375122070312
All,XGBoost,9.535353535353536,575.1375122070312
All,XGBoost,9.696969696969697,575.1375122070312
All,XGBoost,9.85858585858586,575.1375122070312
All,XGBoost,10.02020202020202,582.5299682617188
All,XGBoost,10.181818181818183,582.5299682617188
All,XGBoost,10.343434343434344,582.5299682617188
All,XGBoost,10.505050505050505,582.5299682617188
All,XGBoost,10.666666666666668,582.5299682617188
All,XGBoost,10.828282828282829,582.5299682617188
All,XGBoost,10.989898989898991,582.5299682617188
All,XGBoost,11.151515151515152,582.8765258789062
All,XGBoost,11.313131313131315,582.8765258789062
All,XGBoost,11.474747474747476,582.8765258789062
All,XGBoost,11.636363636363637,582.8765258789062
All,XGBoost,11.7979797979798,582.8765258789062
All,XGBoost,11.95959595959596,582.8765258789062
All,XGBoost,12.121212121212123,609.5236206054688
All,XGBoost,12.282828282828284,609.5236206054688
All,XGBoost,12.444444444444445,609.5236206054688
All,XGBoost,12.606060606060607,609.5236206054688
All,XGBoost,12.767676767676768,609.5236206054688
All,XGBoost,12.92929292929293,609.5236206054688
All,XGBoost,13.090909090909092,623.5103759765625
All,XGBoost,13.252525252525254,623.5103759765625
All,XGBoost,13.414141414141415,623.5103759765625
