Dataset,Model,Temperature,Predicted Value
Lunches,CatBoost,25.12878787878788,1068.2888409261802
Lunches,CatBoost,25.408838383838383,1067.0324842902226
Lunches,CatBoost,25.68888888888889,1055.7750648872102
Lunches,CatBoost,25.968939393939394,1055.7750648872102
Lunches,CatBoost,26.248989898989898,1055.7750648872102
Lunches,CatBoost,26.529040404040405,1055.7750648872102
Lunches,CatBoost,26.80909090909091,976.2538248917172
Lunches,CatBoost,27.089141414141412,976.2538248917172
Lunches,CatBoost,27.36919191919192,976.2538248917172
Lunches,CatBoost,27.649242424242424,976.2538248917172
Lunches,CatBoost,27.92929292929293,977.0314489859635
Lunches,CatBoost,28.209343434343435,977.0314489859635
Lunches,CatBoost,28.48939393939394,977.0314489859635
Lunches,CatBoost,28.769444444444446,977.0314489859635
Lunches,CatBoost,29.04949494949495,977.0314489859635
Lunches,CatBoost,29.329545454545453,977.0314489859635
Lunches,CatBoost,29.60959595959596,977.0314489859635
Lunches,CatBoost,29.889646464646464,977.0314489859635
Lunches,CatBoost,30.169696969696968,977.0314489859635
Lunches,CatBoost,30.449747474747475,977.0314489859635
Lunches,CatBoost,30.72979797979798,977.0314489859635
Lunches,CatBoost,31.009848484848483,977.0314489859635
Lunches,CatBoost,31.28989898989899,977.0314489859635
Lunches,CatBoost,31.569949494949494,977.0314489859635
Lunches,CatBoost,31.85,977.0314489859635
Lunches,LightGBM,4.125,1080.1889764863986
Lunches,LightGBM,4.405050505050505,1080.1889764863986
Lunches,LightGBM,4.68510101010101,1080.1889764863986
Lunches,LightGBM,4.965151515151515,1080.1889764863986
Lunches,LightGBM,5.24520202020202,1080.1889764863986
Lunches,LightGBM,5.525252525252525,1080.1889764863986
Lunches,LightGBM,5.80530303030303,1073.467148508266
Lunches,LightGBM,6.085353535353535,1073.467148508266
Lunches,LightGBM,6.365404040404041,1073.467148508266
Lunches,LightGBM,6.6454545454545455,1055.0793355132323
Lunches,LightGBM,6.92550505050505,1096.6876910243639
Lunches,LightGBM,7.205555555555556,1091.6448419443152
Lunches,LightGBM,7.48560606060606,1079.855255070576
Lunches,LightGBM,7.765656565656565,1081.5134290015776
Lunches,LightGBM,8.04570707070707,1092.176920588584
Lunches,LightGBM,8.325757575757576,1082.464411742187
Lunches,LightGBM,8.605808080808082,1085.6073569776015
Lunches,LightGBM,8.885858585858585,1081.7481868010937
Lunches,LightGBM,9.165909090909091,1093.1062796402962
Lunches,LightGBM,9.445959595959597,1089.8007374985098
Lunches,LightGBM,9.7260101010101,1098.9010150400293
Lunches,LightGBM,10.006060606060606,1102.2915564710581
Lunches,LightGBM,10.286111111111111,1101.1382096252091
Lunches,LightGBM,10.566161616161615,1109.7574891885613
Lunches,LightGBM,10.84621212121212,1110.7115626637255
Lunches,LightGBM,11.126262626262626,1112.575625351578
Lunches,LightGBM,11.40631313131313,1113.1520958904682
Lunches,LightGBM,11.686363636363637,1117.3221268260352
Lunches,LightGBM,11.966414141414141,1118.8139288618192
Lunches,LightGBM,12.246464646464647,1122.4062742927072
Lunches,LightGBM,12.526515151515152,1125.8599229304384
Lunches,LightGBM,12.806565656565656,1126.1826877036137
Lunches,LightGBM,13.086616161616162,1128.083984570866
Lunches,LightGBM,13.366666666666667,1138.1623301525165
Lunches,LightGBM,13.646717171717171,1139.077648906362
Lunches,LightGBM,13.926767676767676,1139.2978836528275
Lunches,LightGBM,14.206818181818182,1139.4814625886095
Lunches,LightGBM,14.486868686868688,1144.0711907539296
Lunches,LightGBM,14.766919191919191,1139.697244183785
Lunches,LightGBM,15.046969696969697,1139.3425366881438
Lunches,LightGBM,15.327020202020202,1139.5645988142935
Lunches,LightGBM,15.607070707070706,1139.6032414508775
Lunches,LightGBM,15.887121212121212,1140.396433851872
