Dataset,Model,Footprint mean,Predicted Value
Mornings,LightGBM,8735.62501010101,749.5746275174754
Mornings,LightGBM,8921.054292929293,749.5746275174754
Mornings,LightGBM,9106.483575757577,753.2124238107111
Mornings,LightGBM,9291.91285858586,753.2124238107111
Mornings,LightGBM,9477.342141414141,753.2124238107111
Mornings,LightGBM,9662.771424242424,753.2124238107111
Mornings,LightGBM,9848.200707070708,753.2124238107111
Mornings,LightGBM,10033.629989898991,753.2124238107111
Mornings,LightGBM,10219.059272727272,753.2124238107111
Mornings,LightGBM,10404.488555555556,753.2124238107111
Mornings,LightGBM,10589.917838383839,753.2124238107111
Mornings,LightGBM,10775.347121212122,753.2124238107111
Mornings,LightGBM,10960.776404040404,753.2124238107111
Mornings,LightGBM,11146.205686868687,753.2124238107111
Mornings,LightGBM,11331.63496969697,753.2124238107111
Mornings,LightGBM,11517.064252525253,753.2124238107111
Mornings,LightGBM,11702.493535353535,753.2124238107111
Mornings,LightGBM,11887.922818181818,753.2124238107111
Mornings,LightGBM,12073.352101010101,753.2124238107111
Mornings,LightGBM,12258.781383838384,753.2124238107111
Mornings,LightGBM,12444.210666666668,753.2124238107111
Mornings,LightGBM,12629.63994949495,753.2124238107111
Mornings,LightGBM,12815.069232323232,753.2124238107111
Mornings,LightGBM,13000.498515151516,753.2124238107111
Mornings,LightGBM,13185.927797979799,753.2124238107111
Mornings,LightGBM,13371.35708080808,753.2124238107111
Mornings,LightGBM,13556.786363636364,753.2124238107111
Mornings,LightGBM,13742.215646464647,753.2124238107111
Mornings,LightGBM,13927.64492929293,753.2124238107111
Mornings,LightGBM,14113.074212121212,753.2124238107111
Mornings,LightGBM,14298.503494949495,753.2124238107111
Mornings,LightGBM,14483.932777777778,753.2124238107111
Mornings,LightGBM,14669.362060606061,753.2124238107111
Mornings,LightGBM,14854.791343434343,753.2124238107111
Mornings,LightGBM,15040.220626262626,769.4483990021502
Mornings,LightGBM,15225.64990909091,769.4483990021502
Mornings,LightGBM,15411.079191919192,769.4483990021502
Mornings,LightGBM,15596.508474747476,769.4483990021502
Mornings,LightGBM,15781.937757575757,769.4483990021502
Mornings,LightGBM,15967.36704040404,769.4483990021502
Mornings,LightGBM,16152.796323232324,769.4483990021502
Mornings,LightGBM,16338.225606060607,769.4483990021502
Mornings,LightGBM,16523.654888888886,769.4483990021502
Mornings,LightGBM,16709.08417171717,769.4483990021502
Mornings,LightGBM,16894.513454545453,769.4483990021502
Mornings,LightGBM,17079.942737373738,769.4483990021502
Mornings,LightGBM,17265.37202020202,769.4483990021502
Mornings,LightGBM,17450.801303030305,769.4483990021502
Mornings,LightGBM,17636.230585858586,769.4483990021502
Mornings,LightGBM,17821.659868686867,769.4483990021502
Mornings,LightGBM,18007.089151515152,769.4483990021502
