Dataset,Model,5 Edge length avg,Predicted Value
Lunches Special,LightGBM,33.64711054820653,1325.8629323034065
Lunches Special,LightGBM,33.900347781217754,1325.8629323034065
Lunches Special,LightGBM,34.15358501422898,1325.8629323034065
Lunches Special,LightGBM,34.40682224724021,1325.8629323034065
Lunches Special,LightGBM,34.660059480251434,1325.8629323034065
Lunches Special,LightGBM,34.91329671326266,1325.8629323034065
Lunches Special,LightGBM,35.16653394627389,1325.8629323034065
Lunches Special,LightGBM,35.419771179285114,1325.8629323034065
Lunches Special,LightGBM,35.67300841229634,1325.8629323034065
Lunches Special,LightGBM,35.92624564530756,1325.8629323034065
Lunches Special,LightGBM,36.179482878318794,1325.8629323034065
Lunches Special,LightGBM,36.43272011133001,1325.8629323034065
Lunches Special,LightGBM,36.68595734434125,1325.8629323034065
Lunches Special,LightGBM,36.93919457735247,1325.8629323034065
Lunches Special,LightGBM,37.1924318103637,1325.8629323034065
Lunches Special,LightGBM,37.44566904337492,1325.8629323034065
Lunches Special,LightGBM,37.698906276386154,1325.8629323034065
Lunches Special,LightGBM,37.952143509397374,1325.8629323034065
Lunches Special,LightGBM,38.20538074240861,1325.8629323034065
Lunches Special,LightGBM,38.45861797541983,1325.8629323034065
Lunches Special,LightGBM,38.71185520843106,1325.8629323034065
Lunches Special,LightGBM,38.96509244144228,1325.8629323034065
Lunches Special,LightGBM,39.218329674453514,1325.8629323034065
Lunches Special,LightGBM,39.471566907464734,1325.8629323034065
Lunches Special,LightGBM,39.72480414047596,1325.8629323034065
Lunches Special,LightGBM,39.97804137348719,1325.8629323034065
Lunches Special,LightGBM,40.231278606498414,1325.8629323034065
Lunches Special,LightGBM,40.48451583950964,1325.8629323034065
Lunches Special,LightGBM,40.73775307252087,1325.8629323034065
Lunches Special,LightGBM,40.990990305532094,1325.8629323034065
Lunches Special,LightGBM,41.24422753854332,1325.8629323034065
Lunches Special,LightGBM,41.49746477155455,1325.8629323034065
Lunches Special,LightGBM,41.750702004565774,1325.8629323034065
Lunches Special,LightGBM,42.003939237577,1325.8629323034065
Lunches Special,LightGBM,42.25717647058823,1325.8629323034065
Lunches Special,XGBoost,17.186690402476806,944.6859130859375
Lunches Special,XGBoost,17.439927635488033,944.6859130859375
Lunches Special,XGBoost,17.69316486849926,944.6859130859375
Lunches Special,XGBoost,17.946402101510486,944.6859130859375
Lunches Special,XGBoost,18.199639334521713,944.9038696289062
Lunches Special,XGBoost,18.45287656753294,944.9038696289062
Lunches Special,XGBoost,18.706113800544166,944.9038696289062
Lunches Special,XGBoost,18.959351033555393,944.9038696289062
Lunches Special,XGBoost,19.21258826656662,944.9038696289062
Lunches Special,XGBoost,19.465825499577846,944.9038696289062
Lunches Special,XGBoost,19.71906273258907,944.9038696289062
Lunches Special,XGBoost,19.972299965600296,944.9038696289062
Lunches Special,XGBoost,20.225537198611523,931.480224609375
Lunches Special,XGBoost,20.47877443162275,930.7608642578125
Lunches Special,XGBoost,20.732011664633976,930.7608642578125
Lunches Special,XGBoost,20.985248897645203,930.7608642578125
Lunches Special,XGBoost,21.23848613065643,930.7608642578125
Lunches Special,XGBoost,21.491723363667656,930.7608642578125
Lunches Special,XGBoost,21.744960596678883,928.6343994140625
Lunches Special,XGBoost,21.99819782969011,928.6343994140625
Lunches Special,XGBoost,22.251435062701336,928.6343994140625
Lunches Special,XGBoost,22.504672295712563,928.6343994140625
Lunches Special,XGBoost,22.757909528723786,929.3029174804688
Lunches Special,XGBoost,23.011146761735013,929.3029174804688
Lunches Special,XGBoost,23.26438399474624,929.505126953125
Lunches Special,XGBoost,23.517621227757466,951.9246215820312
Lunches Special,XGBoost,23.770858460768693,927.64013671875
Lunches Special,XGBoost,24.02409569377992,930.8695678710938
Lunches Special,XGBoost,24.277332926791146,931.7384033203125
Lunches Special,XGBoost,24.530570159802373,931.0237426757812
Lunches Special,XGBoost,24.7838073928136,926.439208984375
Lunches Special,XGBoost,25.037044625824826,926.4390869140625
Lunches Special,XGBoost,25.290281858836053,926.4390869140625
Lunches Special,XGBoost,25.54351909184728,926.2192993164062
Lunches Special,XGBoost,25.796756324858507,951.7825317382812
Lunches Special,XGBoost,26.049993557869733,951.7825317382812
Lunches Special,XGBoost,26.30323079088096,951.7825317382812
Lunches Special,XGBoost,26.556468023892187,954.7870483398438
Lunches Special,XGBoost,26.809705256903413,954.026611328125
Lunches Special,XGBoost,27.06294248991464,953.2236328125
Lunches Special,XGBoost,27.316179722925867,953.2236328125
Lunches Special,XGBoost,27.569416955937093,953.2236328125
Lunches Special,XGBoost,27.82265418894832,953.2236328125
Lunches Special,XGBoost,28.075891421959547,953.2236328125
Lunches Special,XGBoost,28.32912865497077,953.2236328125
Lunches Special,XGBoost,28.582365887981997,953.2236328125
Lunches Special,XGBoost,28.835603120993223,953.2236328125
Lunches Special,XGBoost,29.08884035400445,953.2236328125
Lunches Special,XGBoost,29.342077587015677,953.2236328125
Lunches Special,XGBoost,29.595314820026903,951.9495239257812
Lunches Special,XGBoost,29.84855205303813,950.6961669921875
Lunches Special,XGBoost,30.101789286049357,950.6961669921875
Lunches Special,XGBoost,30.355026519060583,950.6961669921875
Lunches Special,XGBoost,30.608263752071807,969.2639770507812
Lunches Special,XGBoost,30.861500985083033,969.2639770507812
Lunches Special,XGBoost,31.11473821809426,969.2639770507812
Lunches Special,XGBoost,31.367975451105487,1670.4041748046875
Lunches Special,XGBoost,31.621212684116713,1670.4041748046875
Lunches Special,XGBoost,31.87444991712794,1673.894775390625
