Dataset,Model,15 Job count,Predicted Value
Mornings,LightGBM,31572.151515151512,900.9832975367038
Mornings,LightGBM,34202.20202020202,900.9832975367038
Mornings,LightGBM,36832.25252525252,900.9832975367038
Mornings,LightGBM,39462.303030303025,901.0266574198976
Mornings,LightGBM,42092.35353535353,900.7773125751398
Mornings,LightGBM,44722.40404040404,900.7773125751398
Mornings,LightGBM,47352.454545454544,900.6861749467749
Mornings,LightGBM,49982.505050505046,900.8560635098158
Mornings,LightGBM,52612.555555555555,908.1152978553956
Mornings,LightGBM,55242.60606060606,908.1528686681155
Mornings,LightGBM,57872.656565656565,907.7214170664256
Mornings,LightGBM,60502.70707070707,907.7214170664256
Mornings,LightGBM,63132.757575757576,907.7214170664256
Mornings,LightGBM,65762.80808080808,907.7214170664256
Mornings,LightGBM,68392.85858585857,907.7214170664256
Mornings,LightGBM,71022.90909090909,907.7214170664256
Mornings,LightGBM,73652.95959595959,906.9809799968589
Mornings,LightGBM,76283.01010101009,906.9809799968589
Mornings,LightGBM,78913.06060606061,906.9809799968589
Mornings,LightGBM,81543.11111111111,906.9746853143679
Mornings,LightGBM,84173.16161616161,906.9746853143679
Mornings,LightGBM,86803.21212121211,906.9746853143679
Mornings,LightGBM,89433.26262626261,906.9746853143679
Mornings,LightGBM,92063.31313131313,906.9746853143679
Mornings,LightGBM,94693.36363636363,906.9746853143679
Mornings,LightGBM,97323.41414141413,906.9746853143679
Mornings,LightGBM,99953.46464646464,906.9746853143679
Mornings,LightGBM,102583.51515151515,906.9746853143679
Mornings,LightGBM,105213.56565656565,906.9746853143679
Mornings,LightGBM,107843.61616161616,903.40610726472
Mornings,LightGBM,110473.66666666666,903.7404882956404
Mornings,LightGBM,113103.71717171716,903.7404882956404
Mornings,LightGBM,115733.76767676767,721.8331111322241
Mornings,LightGBM,118363.81818181818,726.0410622795448
Mornings,LightGBM,120993.86868686868,726.0410622795448
Mornings,LightGBM,123623.91919191918,726.0410622795448
Mornings,LightGBM,126253.9696969697,726.0410622795448
Mornings,LightGBM,128884.0202020202,727.653886673147
Mornings,LightGBM,131514.0707070707,727.653886673147
Mornings,LightGBM,134144.12121212122,727.653886673147
Mornings,LightGBM,136774.1717171717,727.653886673147
Mornings,LightGBM,139404.22222222222,737.9836316956452
Mornings,LightGBM,142034.2727272727,738.3626171744212
Mornings,LightGBM,144664.32323232322,738.6746176408101
Mornings,LightGBM,147294.37373737374,744.8162672479622
Mornings,LightGBM,149924.42424242423,745.2656782854791
Mornings,LightGBM,152554.47474747474,745.3437277869165
Mornings,LightGBM,155184.52525252523,745.778863499548
Mornings,LightGBM,157814.57575757575,745.8283092564325
Mornings,LightGBM,160444.62626262626,730.0564082711401
Mornings,LightGBM,163074.67676767675,710.1263161905364
Mornings,LightGBM,165704.72727272726,714.2974579982309
Mornings,LightGBM,168334.77777777778,714.3885345180224
