Dataset,Model,Visual complexity mean,Predicted Value
All,XGBoost,1.5883312915355507,610.115478515625
All,XGBoost,1.5942480350984247,610.115478515625
All,XGBoost,1.6001647786612985,610.115478515625
All,XGBoost,1.6060815222241722,610.115478515625
All,XGBoost,1.6119982657870462,610.2077026367188
All,XGBoost,1.61791500934992,610.2077026367188
All,XGBoost,1.623831752912794,610.2077026367188
All,XGBoost,1.6297484964756677,610.2077026367188
All,XGBoost,1.6356652400385414,610.2077026367188
All,XGBoost,1.6415819836014154,610.2077026367188
All,XGBoost,1.6474987271642891,610.2077026367188
All,XGBoost,1.6534154707271629,610.2077026367188
All,XGBoost,1.6593322142900369,608.208984375
All,XGBoost,1.6652489578529106,608.208984375
All,XGBoost,1.6711657014157846,608.208984375
All,XGBoost,1.6770824449786583,608.1708984375
All,XGBoost,1.6829991885415323,606.435302734375
All,XGBoost,1.688915932104406,605.0478515625
All,XGBoost,1.6948326756672798,605.0478515625
All,XGBoost,1.7007494192301538,588.6752319335938
All,XGBoost,1.7066661627930275,577.369140625
All,XGBoost,1.7125829063559013,577.369140625
All,XGBoost,1.7184996499187752,577.369140625
All,XGBoost,1.724416393481649,577.1498413085938
All,XGBoost,1.730333137044523,577.0596313476562
All,XGBoost,1.7362498806073967,577.3175048828125
All,XGBoost,1.7421666241702705,577.3175048828125
All,XGBoost,1.7480833677331444,577.3175048828125
All,XGBoost,1.7540001112960182,574.8822021484375
All,XGBoost,1.7599168548588922,574.9462280273438
All,XGBoost,1.765833598421766,574.9462280273438
All,XGBoost,1.7717503419846397,574.9462280273438
All,XGBoost,1.7776670855475136,575.9312744140625
All,XGBoost,1.7835838291103874,575.9312744140625
All,XGBoost,1.7895005726732613,572.5673217773438
All,XGBoost,1.795417316236135,572.5673217773438
All,XGBoost,1.8013340597990088,572.1519165039062
All,XGBoost,1.8072508033618828,584.8718872070312
All,XGBoost,1.8131675469247566,584.8718872070312
All,XGBoost,1.8190842904876305,583.4373168945312
All,XGBoost,1.8250010340505043,583.8158569335938
All,XGBoost,1.830917777613378,594.5232543945312
All,XGBoost,1.836834521176252,594.5232543945312
All,XGBoost,1.8427512647391258,594.5232543945312
All,XGBoost,1.8486680083019995,595.3863525390625
All,XGBoost,1.8545847518648735,596.5965576171875
All,XGBoost,1.8605014954277472,596.5965576171875
All,XGBoost,1.8664182389906212,596.5965576171875
All,XGBoost,1.872334982553495,596.5965576171875
All,XGBoost,1.878251726116369,596.5965576171875
All,XGBoost,1.8841684696792427,599.9776000976562
All,XGBoost,1.8900852132421164,599.9776000976562
All,XGBoost,1.8960019568049904,599.9776000976562
All,XGBoost,1.9019187003678641,599.9776000976562
All,XGBoost,1.907835443930738,599.9776000976562
All,XGBoost,1.9137521874936119,599.9038696289062
All,XGBoost,1.9196689310564856,600.083251953125
All,XGBoost,1.9255856746193596,601.0748901367188
All,XGBoost,1.9315024181822333,601.0748901367188
All,XGBoost,1.9374191617451073,601.0748901367188
All,XGBoost,1.943335905307981,601.0748901367188
All,XGBoost,1.9492526488708548,615.4314575195312
All,XGBoost,1.9551693924337288,615.4314575195312
All,XGBoost,1.9610861359966025,615.4314575195312
All,XGBoost,1.9670028795594763,615.4314575195312
All,XGBoost,1.9729196231223503,615.4314575195312
All,XGBoost,1.978836366685224,615.4314575195312
All,XGBoost,1.9847531102480978,615.4314575195312
All,XGBoost,1.9906698538109717,615.4314575195312
All,XGBoost,1.9965865973738457,615.4314575195312
All,XGBoost,2.0025033409367192,615.4314575195312
All,XGBoost,2.008420084499593,615.4314575195312
All,XGBoost,2.014336828062467,615.4314575195312
All,XGBoost,2.020253571625341,615.4314575195312
All,XGBoost,2.0261703151882147,615.4314575195312
All,XGBoost,2.0320870587510886,615.4314575195312
All,XGBoost,2.0380038023139626,615.4314575195312
All,XGBoost,2.043920545876836,615.4314575195312
All,XGBoost,2.04983728943971,615.4314575195312
All,XGBoost,2.055754033002584,615.4314575195312
All,XGBoost,2.0616707765654576,615.4314575195312
All,XGBoost,2.0675875201283316,615.4314575195312
All,XGBoost,2.0735042636912056,615.4314575195312
All,XGBoost,2.079421007254079,615.4314575195312
All,XGBoost,2.085337750816953,615.4314575195312
All,XGBoost,2.091254494379827,615.4314575195312
