Dataset,Model,Closeness centrality,Predicted Value
Afternoons Special,XGBoost,0.008878787878787878,966.4180908203125
Afternoons Special,XGBoost,0.009000000000000001,840.9395141601562
Afternoons Special,XGBoost,0.00912121212121212,840.9395141601562
Afternoons Special,XGBoost,0.009242424242424243,840.9395141601562
Afternoons Special,XGBoost,0.009363636363636364,840.9395141601562
Afternoons Special,XGBoost,0.009484848484848485,840.9395141601562
Afternoons Special,XGBoost,0.009606060606060606,840.9395141601562
Afternoons Special,XGBoost,0.009727272727272727,840.9395141601562
Afternoons Special,XGBoost,0.00984848484848485,840.9395141601562
Afternoons Special,XGBoost,0.009969696969696969,840.9395141601562
Afternoons Special,XGBoost,0.010090909090909091,881.742431640625
Afternoons Special,XGBoost,0.010212121212121212,881.742431640625
Afternoons Special,XGBoost,0.010333333333333333,881.742431640625
Afternoons Special,XGBoost,0.010454545454545454,881.742431640625
Afternoons Special,XGBoost,0.010575757575757575,881.742431640625
Afternoons Special,XGBoost,0.010696969696969698,881.742431640625
Afternoons Special,XGBoost,0.010818181818181817,881.742431640625
Afternoons Special,XGBoost,0.01093939393939394,881.742431640625
Afternoons Special,XGBoost,0.01106060606060606,868.5380859375
Afternoons Special,XGBoost,0.011181818181818182,868.5380859375
Afternoons Special,XGBoost,0.011303030303030303,868.5380859375
Afternoons Special,XGBoost,0.011424242424242424,868.5380859375
Afternoons Special,XGBoost,0.011545454545454546,868.5380859375
Afternoons Special,XGBoost,0.011666666666666665,868.5380859375
Afternoons Special,XGBoost,0.011787878787878788,868.5380859375
Afternoons Special,XGBoost,0.011909090909090909,868.5380859375
Afternoons Special,XGBoost,0.01203030303030303,867.486572265625
Afternoons Special,XGBoost,0.012151515151515153,867.486572265625
Afternoons Special,XGBoost,0.012272727272727272,867.486572265625
Afternoons Special,XGBoost,0.012393939393939395,867.486572265625
Afternoons Special,XGBoost,0.012515151515151514,867.486572265625
Afternoons Special,XGBoost,0.012636363636363637,867.486572265625
Afternoons Special,XGBoost,0.012757575757575757,867.486572265625
Afternoons Special,XGBoost,0.012878787878787878,867.486572265625
Afternoons Special,XGBoost,0.013000000000000001,867.486572265625
Afternoons Special,XGBoost,0.01312121212121212,867.486572265625
Afternoons Special,XGBoost,0.013242424242424243,867.486572265625
Afternoons Special,XGBoost,0.013363636363636362,867.486572265625
Afternoons Special,XGBoost,0.013484848484848485,867.486572265625
Afternoons Special,XGBoost,0.013606060606060608,867.486572265625
Afternoons Special,XGBoost,0.013727272727272727,867.486572265625
Afternoons Special,XGBoost,0.01384848484848485,867.486572265625
Afternoons Special,XGBoost,0.013969696969696969,867.486572265625
Afternoons Special,XGBoost,0.014090909090909091,868.2691040039062
Afternoons Special,XGBoost,0.01421212121212121,868.2691040039062
Afternoons Special,XGBoost,0.014333333333333333,868.2691040039062
Afternoons Special,XGBoost,0.014454545454545456,868.2691040039062
Afternoons Special,XGBoost,0.014575757575757575,868.2691040039062
Afternoons Special,XGBoost,0.014696969696969698,868.2691040039062
Afternoons Special,XGBoost,0.014818181818181817,868.2691040039062
Afternoons Special,XGBoost,0.01493939393939394,868.2691040039062
Afternoons Special,XGBoost,0.015060606060606059,867.1548461914062
Afternoons Special,XGBoost,0.015181818181818182,867.1548461914062
Afternoons Special,XGBoost,0.015303030303030304,867.1548461914062
Afternoons Special,XGBoost,0.015424242424242424,867.1548461914062
Afternoons Special,XGBoost,0.015545454545454546,867.1548461914062
Afternoons Special,XGBoost,0.015666666666666666,867.1548461914062
Afternoons Special,XGBoost,0.015787878787878788,867.1548461914062
Afternoons Special,XGBoost,0.015909090909090907,867.1548461914062
Afternoons Special,XGBoost,0.01603030303030303,867.1548461914062
Afternoons Special,XGBoost,0.016151515151515153,867.1548461914062
Afternoons Special,XGBoost,0.016272727272727272,867.1548461914062
Afternoons Special,XGBoost,0.016393939393939395,867.1548461914062
Afternoons Special,XGBoost,0.016515151515151514,867.1548461914062
Afternoons Special,XGBoost,0.016636363636363637,867.1548461914062
Afternoons Special,XGBoost,0.016757575757575756,867.1548461914062
Afternoons Special,XGBoost,0.01687878787878788,867.1548461914062
Afternoons Special,XGBoost,0.017,897.1641845703125
